year,manufacturer,player,series,card_number,description,category,parallel,image
1989,Fleer,Billy Ripken,,616,Player is holding a bat with the words Fuck Face written on the end of the handle.,Priceless,,1989-fleer-ripken.jpg
1989,ProCards,Kieth Comstock,Minor League Team Sets,14,A baseball is impacting the player's crotch,Priceless,,1989-procards-comstock.jpg
1991,Pacific,Nolan Ryan,,92,Nolan is bloody after a diamond brawl,Priceless,,1991-pacific-nolan-ryan.jpg
1988,Topps,Alan Ashby,,48,,Alliteration,,1988-topps-alan-ashby.jpg
1989,Topps,Barry Bonds,,620,,Alliteration,,1989-topps-barry-bonds.jpg
1988,Topps,Casey Candaele,,431,,Alliteration,,1988-topps-casey-candaele.jpg
1988,Topps,Dave Dravecky,,68,,Alliteration,,1988-topps-dave-dravecky.jpg
1987,ProCards,Eric Erickson,,2196,,Alliteration,,1987-procards-eric-erickson.jpg
1990,Topps,Felix Fermin,,722,,Alliteration,,1990-topps-felix-fermin.jpg
1988,Topps,Greg Gross,,518,,Alliteration,,1988-topps-greg-gross.jpg
1984,Fleer,Jay Johnstone,,495,,Alliteration,,1984-fleer-jay-johnstone.jpg
1988,Topps,Lee Lacy,,598,,Alliteration,,1988-topps-lee-lacy.jpg
1981,Fleer,Milt May,,442,,Alliteration,,1981-fleer-milt-may.jpg
1989,Topps,Pat Perry,,186,,Alliteration,,1989-topps-pat-perry.jpg
1989,Topps,Randy Ready,,551,,Alliteration,,1989-topps-randy-ready.jpg
1990,Fleer,Sammy Sosa,,548,,Alliteration,,1990-fleer-sammy-sosa.jpg
2003,Topps,Ugueth Urbina,Heritage,26,,Alliteration,,2003-topps-ugueth-urbina.jpg
1959,Topps,Vito Valentinetti,,44,,Alliteration,,1959-topps-vito-valentinetti.jpg
1990,Fleer,Walt Weiss,,22,,Alliteration,,1990-fleer-walt-weiss.jpg
1991,Donruss,Oil Can Boyd,,194,Given name is Dennis Boyd,Weird Name,,1991-donruss-oil-can-boyd.jpg
1990,ProCards,Steve Sharts,Minor League Team Sets,235,,Weird Name,,1990-procards-steve-sharts.jpg
2002,Topps,Stubby Clapp,Heritage,331,,Weird Name,,2002-topps-stubby-clapp.jpg
2021,Topps,Coco Crisp,Project70,78,,Weird Name,,2021-topps-coco-crisp.jpg
1974,Topps,Boots Day,,589,,Weird Name,,1974-topps-boots-day.jpg
1975,Topps,Dick Pole,,513,,Weird Name,,1975-topps-dick-pole.jpg
1982,Topps,Shooty Babitt,,578,,Weird Name,,1982-topps-shooty-babitt.jpg
1986,Topps,Razor Shines,,132,,Weird Name,,1986-topps-razor-shines.jpg
1994,Upper Deck,Cal Ripken Jr,Collector's Choice,240,,Telephone,,1994-upper-deck-cal-ripken.jpg
1996,Stadium Club,Todd Zeile,,420,,Telephone,,1996-stadium-club-todd-zeile.jpg
